result,exec_time,status,obj_value,obj_bound
result_B_48t_1_2_constant.csv,24.5666666666667,OPTIMAL,70187878864.9378,70130569384.6933
result_B_48t_1_2_constant.csv,12.9666666666667,OPTIMAL,70205692457.6257,70131991089.8198
result_B_48t_1_2_constant.csv,13.75,OPTIMAL,70202769047.6425,70132802137.6517
result_B_48t_2_2_constant.csv,20.05,OPTIMAL,70194631016.8161,70124420979.3126
result_B_48t_2_2_constant.csv,23.6,OPTIMAL,70178630920.3484,70125842310.6894
result_B_48t_2_2_constant.csv,25.0166666666667,OPTIMAL,70193715747.6065,70126650416.9039
result_B_48t_3_2_constant.csv,13.0333333333333,OPTIMAL,70205359761.7359,70133013059.5331
result_B_48t_3_2_constant.csv,13.3333333333333,OPTIMAL,70212330368.9187,70134436598.3606
result_B_48t_3_2_constant.csv,23.25,OPTIMAL,70209052208.3991,70135245153.0761
result_B_48t_4_2_constant.csv,11.7333333333333,OPTIMAL,70185598543.8675,70125580497.3733
result_B_48t_4_2_constant.csv,11.8833333333333,OPTIMAL,70180649457.7961,70127001451.2219
result_B_48t_4_2_constant.csv,12.2333333333333,OPTIMAL,70185175996.7467,70127811265.1453
result_B_48t_5_2_constant.csv,20.8666666666667,OPTIMAL,70348131647.3583,70117307249.5346
result_B_48t_5_2_constant.csv,14.1833333333333,OPTIMAL,70292726187.403,70118729170.4789
result_B_48t_5_2_constant.csv,25.7833333333333,OPTIMAL,70281696123.1875,70119540161.2413
